TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
19,CUST8529,ACC92360,Credit,Payment,Mutual Fund,Firm E,South,Manager 3,01-01-2024,44638.67956,78439.80,0.50,415.00,115.00
20,CUST5705,ACC74631,Savings,Deposit,Credit Card,Firm C,East,Manager 4,06-10-2023,72334.05958,105445.87,0.49,766.00,106.00
21,CUST7493,ACC83269,Current,Transfer,Personal Loan,Firm C,East,Manager 2,26-02-2023,12005.30234,123404.53,0.44,337.00,39.00
22,CUST9038,ACC58078,Current,Transfer,Credit Card,Firm B,South,Manager 2,14-04-2023,28941.09657,88013.62,0.71,615.00,137.00
23,CUST3609,ACC95774,Loan,Payment,Savings Account,Firm B,West,Manager 2,05-11-2023,92621.19713,50879.05,0.69,488.00,115.00
24,CUST1547,ACC53466,Current,Deposit,Personal Loan,Firm D,Central,Manager 2,21-02-2023,61624.22968,58729.40,-0.01,675.00,222.00
25,CUST4855,ACC53865,Loan,Payment,Credit Card,Firm E,West,Manager 1,20-01-2024,49980.23329,105442.38,0.35,318.00,106.00
26,CUST1888,ACC30787,Loan,Withdrawal,Savings Account,Firm B,North,Manager 2,01-04-2024,-2111.157762,135221.22,0.13,682.00,9.00
27,CUST9038,ACC88516,Credit,Deposit,Personal Loan,Firm B,Central,Manager 3,02-04-2024,47445.17142,120804.18,0.21,829.00,203.00
29,CUST5610,ACC15228,Savings,Withdrawal,Savings Account,Firm D,North,Manager 1,02-12-2023,53057.53172,108572.47,0.23,342.00,131.00
30,CUST6082,ACC42903,Savings,Withdrawal,Personal Loan,Firm B,South,Manager 3,13-03-2023,72291.88568,70454.38,0.28,723.00,89.00
31,CUST2612,ACC18140,Savings,Payment,Home Loan,Firm E,East,Manager 1,16-04-2024,57987.89568,34655.26,0.58,334.00,162.00
32,CUST1114,ACC65144,Savings,Transfer,Mutual Fund,Firm D,South,Manager 2,01-08-2023,-3792.949822,56727.20,0.13,346.00,48.00
33,CUST3109,ACC49395,Savings,Transfer,Savings Account,Firm E,Central,Manager 4,26-07-2023,82314.48823,64385.39,0.45,650.00,92.00
34,CUST6937,ACC48303,Savings,Deposit,Savings Account,Firm D,South,Manager 2,19-11-2023,72174.90521,78521.95,0.62,470.00,6.00
35,CUST9754,ACC88286,Current,Payment,Home Loan,Firm C,South,Manager 3,04-01-2024,41063.17464,59743.08,0.08,527.00,135.00
36,CUST5500,ACC82298,Credit,Withdrawal,Home Loan,Firm C,North,Manager 3,30-03-2024,39161.11196,75463.16,0.20,614.00,184.00
37,CUST4794,ACC48501,Current,Deposit,Personal Loan,Firm E,West,Manager 3,20-01-2024,55611.99195,79509.68,0.32,361.00,148.00
38,CUST1547,ACC25811,Current,Withdrawal,Credit Card,Firm C,West,Manager 1,02-08-2024,77360.27971,95060.46,0.19,309.00,188.00
39,CUST1747,ACC52131,Current,Withdrawal,Credit Card,Firm A,South,Manager 2,01-02-2023,14517.92562,93724.25,0.46,658.00,132.00
40,CUST4003,ACC75675,Credit,Withdrawal,Mutual Fund,Firm E,North,Manager 3,01-12-2023,54698.83777,66886.45,0.70,620.00,191.00
41,CUST6526,ACC42710,Current,Withdrawal,Mutual Fund,Firm B,West,Manager 2,09-08-2023,66500.72676,46823.75,0.20,669.00,31.00
42,CUST2699,ACC39482,Loan,Withdrawal,Credit Card,Firm D,West,Manager 4,15-05-2024,42831.48483,123007.44,0.57,332.00,31.00
43,CUST9169,ACC25811,Savings,Transfer,Mutual Fund,Firm D,North,Manager 4,26-09-2023,16210.42058,57152.50,0.85,739.00,133.00
44,CUST8318,ACC51009,Credit,Withdrawal,Credit Card,Firm E,West,Manager 4,28-01-2023,53348.15016,54215.60,0.36,489.00,41.00
45,CUST1887,ACC51200,Current,Payment,Mutual Fund,Firm E,East,Manager 3,23-02-2023,73852.92323,91931.22,0.65,494.00,77.00
46,CUST7481,ACC29231,Savings,Transfer,Credit Card,Firm C,West,Manager 3,25-07-2023,46044.23085,46349.79,0.30,551.00,208.00
47,CUST8028,ACC34119,Savings,Withdrawal,Home Loan,Firm C,Central,Manager 3,07-05-2023,65626.44416,72102.28,0.74,580.00,211.00
48,CUST1467,ACC57700,Loan,Deposit,Mutual Fund,Firm A,West,Manager 4,02-06-2024,36008.0015,67792.61,0.71,433.00,222.00
49,CUST2412,ACC77773,Savings,Deposit,Home Loan,Firm A,East,Manager 2,22-06-2024,21935.83196,84066.95,0.17,565.00,27.00
50,CUST7793,ACC70314,Loan,Withdrawal,Savings Account,Firm A,North,Manager 1,25-04-2024,80193.9764,54419.08,0.60,794.00,43.00
51,CUST8028,ACC91723,Savings,Payment,Home Loan,Firm E,Central,Manager 1,01-01-2024,41326.22304,113108.23,0.65,752.00,95.00
52,CUST6549,ACC87602,Savings,Deposit,Personal Loan,Firm E,Central,Manager 4,16-08-2023,33793.07918,79417.81,0.51,820.00,192.00
53,CUST2716,ACC76597,Savings,Transfer,Savings Account,Firm E,North,Manager 1,15-05-2023,60719.08064,73186.96,0.71,839.00,72.00
54,CUST5545,ACC12182,Loan,Deposit,Home Loan,Firm A,South,Manager 4,08-04-2023,63230.96125,159827.66,0.52,534.00,70.00
55,CUST1223,ACC21719,Savings,Transfer,Mutual Fund,Firm D,East,Manager 4,23-04-2023,17180.88886,104487.09,0.44,408.00,48.00
56,CUST2539,ACC15925,Current,Payment,Savings Account,Firm A,North,Manager 1,18-02-2024,66147.80233,114055.25,0.39,758.00,90.00
58,CUST9535,ACC92360,Loan,Payment,Credit Card,Firm D,West,Manager 1,03-08-2023,42222.5982,69630.41,0.55,469.00,110.00
59,CUST4769,ACC34568,Loan,Withdrawal,Home Loan,Firm D,East,Manager 2,25-07-2023,57559.69967,70917.47,0.38,428.00,181.00
60,CUST2871,ACC75767,Credit,Transfer,Credit Card,Firm E,East,Manager 1,10-06-2023,80041.83714,100648.20,0.38,767.00,74.00
61,CUST2626,ACC99117,Savings,Deposit,Home Loan,Firm B,Central,Manager 2,21-05-2023,108398.88,45976.43,0.33,316.00,31.00
62,CUST4669,ACC11062,Loan,Withdrawal,Mutual Fund,Firm E,West,Manager 1,25-12-2023,35748.04389,105604.12,0.14,304.00,16.00
63,CUST4625,ACC82381,Loan,Payment,Personal Loan,Firm B,North,Manager 3,13-01-2023,8929.843643,82314.20,0.75,812.00,143.00
64,CUST1114,ACC25132,Savings,Transfer,Mutual Fund,Firm D,West,Manager 1,18-10-2023,70032.25271,71747.85,0.34,690.00,118.00
65,CUST4241,ACC26026,Credit,Withdrawal,Credit Card,Firm C,Central,Manager 2,26-04-2023,95960.61551,39441.56,-0.07,349.00,177.00
66,CUST3810,ACC65545,Loan,Payment,Home Loan,Firm D,North,Manager 2,15-01-2023,60138.38331,136450.92,0.82,644.00,39.00
67,CUST8416,ACC49422,Loan,Transfer,Savings Account,Firm B,South,Manager 1,01-08-2023,9816.891316,62410.54,0.34,699.00,22.00
68,CUST9525,ACC10117,Loan,Transfer,Savings Account,Firm C,North,Manager 1,25-11-2023,56317.92006,90780.26,0.28,769.00,137.00
69,CUST3315,ACC51593,Savings,Payment,Savings Account,Firm E,East,Manager 3,14-04-2023,10471.27873,60242.51,0.62,430.00,214.00
70,CUST9683,ACC62446,Savings,Deposit,Personal Loan,Firm B,South,Manager 2,28-09-2023,93077.20497,56329.38,0.30,825.00,87.00
71,CUST2188,ACC21429,Loan,Payment,Credit Card,Firm C,West,Manager 2,01-02-2023,30990.68988,85414.77,0.11,561.00,159.00
72,CUST7933,ACC88516,Savings,Payment,Credit Card,Firm A,West,Manager 3,05-05-2023,48136.71078,45803.35,0.32,667.00,102.00
73,CUST6776,ACC71426,Savings,Payment,Savings Account,Firm C,South,Manager 1,02-05-2024,38215.2402,98943.64,0.53,423.00,157.00
74,CUST3609,ACC81631,Loan,Payment,Personal Loan,Firm A,North,Manager 4,17-06-2023,48959.47031,94767.35,0.54,786.00,174.00
75,CUST3306,ACC45951,Loan,Withdrawal,Credit Card,Firm D,West,Manager 3,30-01-2023,42110.86685,49608.55,0.57,841.00,239.00
76,CUST2842,ACC45907,Current,Deposit,Mutual Fund,Firm C,West,Manager 4,20-06-2023,41924.00019,109760.27,0.40,600.00,17.00
77,CUST1569,ACC52650,Savings,Deposit,Home Loan,Firm B,Central,Manager 1,25-04-2024,7173.703028,81603.10,0.49,356.00,202.00
78,CUST6549,ACC91220,Loan,Deposit,Mutual Fund,Firm D,North,Manager 4,15-05-2024,38912.14124,79473.49,0.26,317.00,90.00
79,CUST1644,ACC77533,Credit,Payment,Personal Loan,Firm D,South,Manager 4,24-12-2023,-30826.7398,68006.04,0.49,678.00,42.00
80,CUST3762,ACC23736,Credit,Payment,Savings Account,Firm B,Central,Manager 4,01-06-2023,31731.60729,25566.17,0.64,649.00,82.00
81,CUST7793,ACC55331,Loan,Payment,Credit Card,Firm B,Central,Manager 4,13-03-2023,14766.1482,88446.18,0.13,645.00,133.00
82,CUST4584,ACC13357,Current,Transfer,Savings Account,Firm C,South,Manager 4,28-05-2024,64353.07817,17364.03,0.52,762.00,194.00
83,CUST5894,ACC19156,Savings,Transfer,Credit Card,Firm A,West,Manager 3,21-03-2024,20666.08062,82908.54,0.07,513.00,173.00
84,CUST5664,ACC30787,Credit,Payment,Savings Account,Firm A,North,Manager 2,05-02-2024,25491.4604,96304.85,0.40,366.00,191.00
85,CUST4855,ACC50439,Credit,Payment,Personal Loan,Firm A,North,Manager 3,03-05-2024,75344.75598,35235.41,0.65,661.00,33.00
86,CUST2527,ACC60432,Current,Payment,Home Loan,Firm D,South,Manager 2,23-10-2023,66265.30612,60392.79,0.17,795.00,190.00
87,CUST4438,ACC29646,Savings,Withdrawal,Credit Card,Firm C,North,Manager 2,29-11-2023,69030.20698,38157.29,0.56,431.00,71.00
88,CUST5428,ACC70460,Savings,Deposit,Home Loan,Firm E,Central,Manager 3,26-09-2023,84093.96793,92773.79,0.47,509.00,145.00
89,CUST2805,ACC64393,Savings,Transfer,Savings Account,Firm C,North,Manager 4,01-12-2023,73060.95086,106768.87,0.61,615.00,51.00
90,CUST4360,ACC37688,Current,Deposit,Personal Loan,Firm B,Central,Manager 1,14-07-2023,57075.20067,65027.00,0.49,785.00,130.00
91,CUST4884,ACC74631,Current,Payment,Mutual Fund,Firm E,Central,Manager 3,03-10-2023,32754.20789,98560.82,0.38,775.00,177.00
92,CUST2805,ACC22036,Current,Withdrawal,Credit Card,Firm C,South,Manager 4,10-03-2023,40081.30054,117892.62,0.33,500.00,36.00
93,CUST6319,ACC57700,Loan,Withdrawal,Credit Card,Firm A,Central,Manager 3,06-11-2024,74789.73457,109248.38,0.58,428.00,151.00
94,CUST4595,ACC13357,Current,Deposit,Credit Card,Firm C,South,Manager 3,17-02-2023,40511.1453,56392.33,0.39,442.00,164.00
95,CUST9528,ACC58667,Current,Deposit,Credit Card,Firm C,North,Manager 4,17-08-2023,82411.60996,25212.84,0.41,534.00,206.00
96,CUST6549,ACC92360,Credit,Transfer,Personal Loan,Firm A,East,Manager 4,14-02-2023,19684.70635,50632.50,0.23,795.00,153.00
97,CUST5545,ACC29477,Savings,Withdrawal,Savings Account,Firm C,North,Manager 1,21-03-2024,56877.08641,87758.17,0.35,428.00,84.00
98,CUST1749,ACC31902,Savings,Deposit,Savings Account,Firm C,West,Manager 2,02-12-2023,10610.70486,1982.87,0.67,757.00,75.00
99,CUST9066,ACC82298,Loan,Transfer,Mutual Fund,Firm E,North,Manager 2,06-06-2023,63867.23645,84870.92,0.63,789.00,196.00
100,CUST8279,ACC42467,Current,Withdrawal,Credit Card,Firm E,West,Manager 1,10-06-2023,52014.56995,125523.58,0.54,439.00,102.00
101,CUST4625,ACC67713,Current,Deposit,Mutual Fund,Firm A,South,Manager 2,01-10-2023,60816.42692,131231.67,0.59,625.00,126.00
102,CUST9535,ACC72197,Credit,Transfer,Credit Card,Firm D,South,Manager 4,03-12-2024,10338.56366,88133.22,0.42,692.00,180.00
103,CUST8279,ACC53466,Current,Withdrawal,Mutual Fund,Firm B,South,Manager 3,11-08-2023,57611.05134,26298.80,0.38,720.00,62.00
104,CUST1121,ACC34119,Current,Deposit,Savings Account,Firm B,North,Manager 4,01-02-2023,39180.29884,52870.35,0.34,371.00,97.00
105,CUST2427,ACC35163,Credit,Deposit,Mutual Fund,Firm B,Central,Manager 1,23-04-2023,56259.32447,102834.17,0.44,332.00,69.00
106,CUST4884,ACC34568,Loan,Payment,Savings Account,Firm B,South,Manager 2,15-05-2023,54193.89633,55331.94,1.09,429.00,31.00
107,CUST5912,ACC28612,Credit,Withdrawal,Credit Card,Firm C,West,Manager 3,30-04-2023,83026.25877,62674.47,0.38,703.00,136.00
108,CUST9439,ACC88286,Savings,Transfer,Mutual Fund,Firm C,North,Manager 1,15-04-2024,17561.01723,81462.13,0.36,463.00,203.00
109,CUST8416,ACC29396,Credit,Transfer,Credit Card,Firm D,North,Manager 3,30-04-2023,49112.88376,41026.91,0.13,727.00,129.00
110,CUST3602,ACC87602,Credit,Deposit,Mutual Fund,Firm B,South,Manager 2,19-11-2023,86118.13921,19367.89,0.43,355.00,99.00
111,CUST2942,ACC67713,Current,Deposit,Home Loan,Firm A,Central,Manager 3,16-04-2024,30635.17445,68878.30,0.43,729.00,75.00
112,CUST2527,ACC41829,Savings,Payment,Home Loan,Firm A,East,Manager 2,20-04-2024,51173.33583,86327.32,0.89,358.00,167.00
113,CUST4402,ACC28154,Savings,Transfer,Credit Card,Firm D,North,Manager 1,19-04-2023,46269.48058,33342.87,0.37,492.00,102.00
114,CUST1840,ACC88516,Loan,Transfer,Mutual Fund,Firm D,East,Manager 4,06-06-2023,38656.20688,79656.42,0.27,326.00,235.00
115,CUST1376,ACC97225,Current,Payment,Home Loan,Firm C,East,Manager 3,01-01-2024,15125.01626,91956.65,0.22,622.00,110.00
116,CUST8288,ACC55331,Loan,Transfer,Personal Loan,Firm B,South,Manager 2,26-04-2023,38439.32578,112434.71,0.25,648.00,206.00
117,CUST8091,ACC15671,Loan,Deposit,Personal Loan,Firm C,West,Manager 3,26-02-2023,46920.9745,3205.45,0.57,641.00,14.00
118,CUST5253,ACC26956,Savings,Transfer,Credit Card,Firm E,East,Manager 2,03-01-2024,26420.71866,81326.13,0.98,419.00,67.00
119,CUST5705,ACC95774,Loan,Payment,Mutual Fund,Firm A,South,Manager 2,19-09-2023,75681.32993,122563.66,0.67,634.00,92.00
120,CUST6082,ACC34821,Credit,Deposit,Savings Account,Firm B,South,Manager 1,26-09-2023,94441.6319,98721.09,0.17,633.00,61.00
121,CUST9564,ACC40952,Loan,Deposit,Savings Account,Firm E,Central,Manager 2,01-02-2023,15039.01132,127139.26,0.83,692.00,231.00
122,CUST2626,ACC60432,Loan,Payment,Savings Account,Firm A,West,Manager 1,09-06-2023,36319.02613,95189.17,0.40,811.00,153.00
123,CUST8461,ACC61926,Savings,Withdrawal,Credit Card,Firm A,South,Manager 2,11-06-2023,67370.5591,-9976.16,0.17,475.00,170.00
124,CUST1467,ACC74631,Current,Withdrawal,Home Loan,Firm D,North,Manager 2,11-08-2023,69319.19933,24834.76,0.34,817.00,174.00
125,CUST8279,ACC62446,Loan,Withdrawal,Credit Card,Firm C,Central,Manager 1,26-03-2023,44837.07729,101775.22,0.50,370.00,211.00
126,CUST2443,ACC94203,Current,Deposit,Mutual Fund,Firm C,Central,Manager 4,18-10-2023,64900.21103,73464.22,0.28,517.00,47.00
127,CUST9683,ACC40952,Credit,Withdrawal,Credit Card,Firm E,West,Manager 4,12-09-2023,24381.28854,32826.71,0.29,654.00,208.00
128,CUST4669,ACC88516,Current,Deposit,Savings Account,Firm B,North,Manager 2,13-03-2023,83996.5104,83778.09,0.24,518.00,164.00
129,CUST5894,ACC49140,Loan,Withdrawal,Personal Loan,Firm A,West,Manager 4,26-04-2023,-8237.127409,91607.39,0.55,494.00,187.00
130,CUST4201,ACC18140,Savings,Payment,Credit Card,Firm D,East,Manager 4,22-05-2024,73067.93901,145091.55,0.07,485.00,42.00
131,CUST2716,ACC34431,Credit,Transfer,Savings Account,Firm B,North,Manager 3,29-05-2023,68869.0151,95556.46,0.64,824.00,162.00
132,CUST5500,ACC29477,Loan,Deposit,Mutual Fund,Firm C,South,Manager 1,13-01-2023,34643.40564,60125.97,0.69,507.00,166.00
133,CUST3306,ACC29646,Loan,Transfer,Home Loan,Firm C,East,Manager 4,09-08-2023,-2711.640499,91243.03,0.39,487.00,200.00
134,CUST4402,ACC77638,Savings,Withdrawal,Personal Loan,Firm B,West,Manager 4,02-04-2023,34067.10215,61813.56,0.40,724.00,188.00
135,CUST8772,ACC89098,Current,Deposit,Credit Card,Firm B,South,Manager 1,06-08-2024,76459.33942,104078.92,0.49,396.00,236.00
136,CUST5255,ACC96868,Credit,Deposit,Home Loan,Firm E,South,Manager 2,02-08-2024,72497.70211,64128.74,0.73,385.00,236.00
137,CUST5705,ACC17688,Current,Withdrawal,Mutual Fund,Firm D,East,Manager 4,17-04-2023,68570.25322,88895.05,0.31,730.00,42.00
138,CUST1415,ACC15671,Current,Transfer,Credit Card,Firm A,East,Manager 2,23-10-2023,19635.72098,71185.92,0.03,779.00,237.00
139,CUST5664,ACC26026,Loan,Deposit,Mutual Fund,Firm A,Central,Manager 1,19-06-2023,31867.49805,60418.68,0.19,315.00,66.00
140,CUST8250,ACC92558,Credit,Withdrawal,Savings Account,Firm A,North,Manager 4,04-03-2023,33468.56508,49362.43,0.68,553.00,191.00
141,CUST7855,ACC35163,Loan,Payment,Savings Account,Firm B,East,Manager 4,16-02-2023,66607.44994,55988.20,0.70,836.00,84.00
142,CUST3762,ACC49774,Savings,Payment,Mutual Fund,Firm D,South,Manager 2,12-10-2023,73612.45423,95267.57,0.54,395.00,204.00
143,CUST4584,ACC43771,Credit,Payment,Savings Account,Firm A,North,Manager 1,16-03-2023,20398.88178,80387.99,0.60,596.00,203.00
144,CUST1747,ACC83005,Current,Payment,Mutual Fund,Firm E,North,Manager 3,18-03-2023,30631.05501,73349.73,0.65,711.00,8.00
145,CUST3041,ACC39500,Credit,Withdrawal,Personal Loan,Firm C,West,Manager 2,17-04-2023,66233.96119,53552.91,0.26,619.00,45.00
146,CUST2109,ACC22255,Credit,Withdrawal,Credit Card,Firm C,North,Manager 2,28-09-2023,80648.98505,46134.39,0.48,625.00,73.00
147,CUST1223,ACC24981,Loan,Payment,Credit Card,Firm C,South,Manager 2,22-03-2024,77138.36151,105763.06,0.87,771.00,33.00
148,CUST4201,ACC53466,Loan,Withdrawal,Savings Account,Firm D,Central,Manager 3,08-11-2023,87875.74087,63230.12,0.12,800.00,214.00
149,CUST1415,ACC60432,Savings,Payment,Savings Account,Firm A,East,Manager 2,03-08-2023,5215.524526,147126.87,0.31,644.00,157.00
150,CUST9683,ACC48303,Savings,Payment,Personal Loan,Firm B,North,Manager 4,18-08-2023,30511.51892,72026.45,0.42,770.00,84.00
151,CUST9666,ACC71426,Current,Transfer,Home Loan,Firm C,East,Manager 1,06-07-2024,81214.01431,39068.58,0.13,332.00,142.00
152,CUST6837,ACC88449,Credit,Deposit,Mutual Fund,Firm D,West,Manager 2,13-03-2023,66756.31051,70364.86,0.86,728.00,71.00
153,CUST5351,ACC32890,Current,Transfer,Home Loan,Firm D,East,Manager 3,19-07-2023,73070.42971,52649.24,0.65,344.00,144.00
154,CUST1042,ACC82298,Loan,Transfer,Home Loan,Firm E,North,Manager 2,02-09-2024,107348.8879,66411.94,0.55,676.00,182.00
155,CUST4438,ACC21264,Loan,Deposit,Credit Card,Firm B,East,Manager 1,21-11-2023,56732.60703,60770.65,0.05,743.00,113.00
156,CUST7933,ACC73104,Savings,Deposit,Home Loan,Firm C,West,Manager 3,14-07-2023,123955.6078,67783.15,0.39,781.00,217.00
157,CUST5558,ACC52131,Current,Payment,Credit Card,Firm A,East,Manager 4,17-06-2023,98156.09257,76936.94,0.89,436.00,63.00
158,CUST8155,ACC99549,Credit,Payment,Personal Loan,Firm A,East,Manager 1,04-03-2023,103449.411,113021.99,0.09,380.00,190.00
159,CUST7459,ACC43771,Savings,Withdrawal,Savings Account,Firm B,West,Manager 3,07-06-2023,12420.70386,56514.88,0.24,677.00,64.00
160,CUST6330,ACC76549,Savings,Withdrawal,Mutual Fund,Firm B,North,Manager 3,20-10-2023,86762.88766,75274.39,0.46,731.00,176.00
161,CUST7028,ACC21264,Loan,Transfer,Credit Card,Firm A,North,Manager 1,02-12-2023,53710.23596,99039.22,0.79,506.00,202.00
162,CUST6210,ACC66086,Loan,Transfer,Credit Card,Firm B,North,Manager 2,09-08-2023,37293.59073,25729.47,0.74,464.00,34.00
163,CUST7255,ACC34821,Loan,Withdrawal,Home Loan,Firm A,North,Manager 3,21-06-2024,36127.89455,64371.93,0.57,761.00,22.00
164,CUST4669,ACC74656,Current,Withdrawal,Savings Account,Firm A,East,Manager 4,28-01-2023,65214.97531,78890.88,0.36,453.00,39.00
165,CUST9535,ACC50817,Savings,Deposit,Mutual Fund,Firm A,East,Manager 4,22-10-2023,29747.40747,-13812.69,0.20,624.00,167.00
166,CUST2805,ACC13357,Loan,Transfer,Home Loan,Firm A,South,Manager 1,17-11-2023,23715.54865,48323.63,0.41,572.00,87.00
167,CUST7855,ACC11188,Savings,Payment,Personal Loan,Firm B,North,Manager 1,17-08-2023,61343.12824,110972.96,0.31,329.00,177.00
168,CUST9535,ACC82947,Current,Withdrawal,Home Loan,Firm A,South,Manager 4,30-04-2023,70903.79697,73073.64,0.57,626.00,92.00
169,CUST8765,ACC28295,Current,Deposit,Home Loan,Firm B,South,Manager 1,06-07-2024,-405.1526228,110327.94,0.87,392.00,111.00
170,CUST6028,ACC64785,Loan,Payment,Credit Card,Firm A,East,Manager 1,01-04-2024,46040.19807,111654.17,0.90,760.00,213.00
171,CUST7481,ACC65545,Credit,Transfer,Mutual Fund,Firm D,South,Manager 4,19-07-2023,6116.020637,51256.76,0.64,431.00,146.00
172,CUST8091,ACC97225,Current,Payment,Credit Card,Firm D,East,Manager 4,01-12-2024,30137.9582,34049.63,0.50,554.00,193.00
173,CUST4241,ACC61926,Credit,Payment,Mutual Fund,Firm D,East,Manager 2,08-10-2023,10393.20979,32594.71,0.53,501.00,101.00
174,CUST2464,ACC32890,Savings,Deposit,Personal Loan,Firm A,North,Manager 1,19-06-2023,-6399.815338,4833.66,0.48,820.00,30.00
175,CUST6082,ACC29356,Credit,Withdrawal,Personal Loan,Firm C,East,Manager 3,28-09-2023,55684.19736,98879.25,0.56,740.00,119.00
176,CUST6029,ACC57872,Savings,Deposit,Mutual Fund,Firm A,North,Manager 4,13-03-2023,50341.82554,17102.46,0.50,304.00,54.00
177,CUST2427,ACC19178,Savings,Payment,Mutual Fund,Firm B,West,Manager 1,05-11-2023,-2413.405843,100177.14,0.62,488.00,236.00
178,CUST2915,ACC45907,Loan,Withdrawal,Savings Account,Firm E,East,Manager 3,26-07-2023,17331.90707,-3430.67,0.71,437.00,195.00
179,CUST8155,ACC83269,Loan,Withdrawal,Mutual Fund,Firm A,East,Manager 4,14-04-2023,62666.16739,54430.49,0.63,388.00,209.00
180,CUST2018,ACC24070,Savings,Withdrawal,Credit Card,Firm A,East,Manager 2,26-10-2023,75840.86116,107650.89,0.27,386.00,15.00
181,CUST3725,ACC10996,Credit,Transfer,Savings Account,Firm D,South,Manager 4,11-06-2023,-9775.982714,105586.15,0.18,383.00,172.00
182,CUST3015,ACC71388,Credit,Payment,Mutual Fund,Firm B,South,Manager 2,26-03-2023,59191.49384,112587.50,0.50,736.00,75.00
183,CUST2457,ACC94242,Savings,Payment,Credit Card,Firm D,West,Manager 2,02-06-2024,78790.73888,68195.27,0.88,377.00,182.00
184,CUST6735,ACC23736,Loan,Deposit,Credit Card,Firm A,South,Manager 1,24-09-2023,41174.66984,107938.06,0.17,641.00,209.00
185,CUST4625,ACC92104,Loan,Transfer,Credit Card,Firm C,Central,Manager 4,21-10-2023,84406.72004,144426.09,0.26,513.00,174.00
186,CUST3609,ACC94203,Savings,Payment,Home Loan,Firm C,North,Manager 4,21-06-2024,38057.20504,69875.11,0.06,380.00,192.00
187,CUST3449,ACC58078,Savings,Payment,Credit Card,Firm E,North,Manager 4,17-01-2023,77315.36547,87383.56,0.70,414.00,82.00
188,CUST6319,ACC11062,Current,Payment,Home Loan,Firm E,North,Manager 1,01-08-2024,65201.42294,17087.28,0.25,340.00,222.00
189,CUST8288,ACC15359,Credit,Transfer,Savings Account,Firm E,North,Manager 4,24-05-2023,60806.81943,127058.39,-0.06,461.00,178.00
190,CUST4584,ACC28305,Savings,Deposit,Savings Account,Firm C,Central,Manager 1,21-10-2023,32901.74081,48338.94,0.70,843.00,200.00
191,CUST2842,ACC55729,Loan,Transfer,Savings Account,Firm A,East,Manager 2,14-07-2023,79901.51035,33162.30,0.88,586.00,106.00
192,CUST9525,ACC82298,Current,Transfer,Home Loan,Firm C,South,Manager 4,01-06-2023,12602.72841,14886.63,0.42,628.00,103.00
